country_sk,data
3969,"{""gdp"": 124034, ""region"": ""Middle Africa"", ""continent"": ""Africa"", ""population"": 29784193, ""country_name"": ""Angola""}"
3970,"{""gdp"": 12345, ""region"": ""Eastern Africa"", ""continent"": ""Africa"", ""population"": 29668834, ""country_name"": ""Mozambique""}"
3971,"{""gdp"": 24065, ""region"": ""Southern Asia"", ""continent"": ""Asia"", ""population"": 29304998, ""country_name"": ""Nepal""}"
3972,"{""gdp"": 45464, ""region"": ""Western Africa"", ""continent"": ""Africa"", ""population"": 28833629, ""country_name"": ""Ghana""}"
3973,"{""gdp"": 25663, ""region"": ""Western Asia"", ""continent"": ""Asia"", ""population"": 28250420, ""country_name"": ""Yemen""}"
3974,"{""gdp"": 10557, ""region"": ""Eastern Africa"", ""continent"": ""Africa"", ""population"": 25570895, ""country_name"": ""Madagascar""}"
3975,"{""gdp"": null, ""region"": ""Eastern Asia"", ""continent"": ""Asia"", ""population"": 25490965, ""country_name"": ""North Korea""}"
3976,"{""gdp"": 1390150, ""region"": ""Australia�and�New Zealand"", ""continent"": ""Oceania"", ""population"": 24450561, ""country_name"": ""Australia""}"
3977,"{""gdp"": 39906, ""region"": ""Western Africa"", ""continent"": ""Africa"", ""population"": 24294750, ""country_name"": ""Ivory Coast""}"
3978,"{""gdp"": 30652, ""region"": ""Middle Africa"", ""continent"": ""Africa"", ""population"": 24053727, ""country_name"": ""Cameroon""}"
3979,"{""gdp"": 571453, ""region"": ""Eastern Asia"", ""continent"": ""Asia"", ""population"": 23626456, ""country_name"": ""Taiwan""}"
3980,"{""gdp"": 7892, ""region"": ""Western Africa"", ""continent"": ""Africa"", ""population"": 21477348, ""country_name"": ""Niger""}"
3981,"{""gdp"": 83567, ""region"": ""Southern Asia"", ""continent"": ""Asia"", ""population"": 20876917, ""country_name"": ""Sri Lanka""}"
3982,"{""gdp"": 204943, ""region"": ""Eastern Europe"", ""continent"": ""Europe"", ""population"": 19679306, ""country_name"": ""Romania""}"
3983,"{""gdp"": 13187, ""region"": ""Western Africa"", ""continent"": ""Africa"", ""population"": 19193382, ""country_name"": ""Burkina Faso""}"
3984,"{""gdp"": 6261, ""region"": ""Eastern Africa"", ""continent"": ""Africa"", ""population"": 18622104, ""country_name"": ""Malawi""}"
3985,"{""gdp"": 14998, ""region"": ""Western Africa"", ""continent"": ""Africa"", ""population"": 18541980, ""country_name"": ""Mali""}"
3986,"{""gdp"": 77460, ""region"": ""Western Asia"", ""continent"": ""Asia"", ""population"": 18269868, ""country_name"": ""Syria""}"
3987,"{""gdp"": 156189, ""region"": ""Central Asia"", ""continent"": ""Asia"", ""population"": 18204499, ""country_name"": ""Kazakhstan""}"
3988,"{""gdp"": 263206, ""region"": ""South America"", ""continent"": ""Americas"", ""population"": 18054726, ""country_name"": ""Chile""}"
3989,"{""gdp"": 25576, ""region"": ""Eastern Africa"", ""continent"": ""Africa"", ""population"": 17094130, ""country_name"": ""Zambia""}"
3990,"{""gdp"": 824480, ""region"": ""Western Europe"", ""continent"": ""Europe"", ""population"": 17035938, ""country_name"": ""Netherlands""}"
3991,"{""gdp"": 70806, ""region"": ""Central America"", ""continent"": ""Americas"", ""population"": 16913503, ""country_name"": ""Guatemala""}"
